gpsheading,gpsaltitude,gpslatitude,verticalaccuracy,horizontalaccuracy,timestamp,gpsspeed,gpslongitude
156.0,2.0,5.506799683985264e-05,9.0,8.0,424.9833984375,0.0,0.04386759689244
156.0,2.0,5.506799683985264e-05,9.0,8.0,425.97412109375,0.0,0.04386759689244
156.0,2.0,5.506799683985264e-05,9.0,8.0,426.9755859375,0.0,0.04386759689244
156.0,2.0,5.506799683985264e-05,9.0,8.0,427.9755859375,0.0,0.04386759689244
156.0,2.0,5.506799683985264e-05,9.0,8.0,428.97607421875,0.0,0.04386759689244
156.0,2.0,5.7873863013924165e-05,9.0,8.0,429.97802734375,0.0,0.043866073662528
156.0,2.0,5.4866961825439375e-05,9.0,8.0,430.97021484375,0.0,0.043867706028962
156.0,2.0,5.4866961825439375e-05,9.0,8.0,431.97802734375,0.0,0.043867706028962
156.0,2.0,5.4866961825439375e-05,9.0,8.0,432.97412109375,0.0,0.043867706028962
156.0,2.0,5.4866961825439375e-05,9.0,8.0,433.97412109375,0.0,0.043867706028962
156.0,2.0,5.4866961825439375e-05,9.0,8.0,434.970703125,0.0,0.043867706028962
156.0,2.0,5.447614388032207e-05,9.0,8.0,435.9775390625,0.0,0.0438679181936123
156.0,2.0,5.500602480879024e-05,9.0,8.0,436.978515625,0.0,0.0438676305354448
156.0,2.0,5.500602480879024e-05,9.0,8.0,437.9814453125,0.0,0.0438676305354448
156.0,2.0,5.500602480879024e-05,9.0,8.0,438.97265625,0.0,0.0438676305354448
156.0,2.0,5.500602480879024e-05,9.0,8.0,439.98486328125,0.0,0.0438676305354448
156.0,2.0,5.484850880321801e-05,9.0,8.0,440.98046875,0.0,0.0438677160466483
156.0,2.0,5.457656400409405e-05,9.0,8.0,441.9765625,0.0,0.0438678636782157
156.0,2.0,5.457656400409405e-05,9.0,8.0,442.970703125,0.0,0.0438678636782157
156.0,2.0,5.45493080537085e-05,9.0,8.0,443.9775390625,0.0,0.0438678784747281
156.0,2.0,5.45493080537085e-05,9.0,8.0,444.9794921875,0.0,0.0438678784747281
156.0,2.0,5.45493080537085e-05,9.0,8.0,445.97265625,0.0,0.0438678784747281
156.0,2.0,5.620172615294905e-05,9.0,8.0,446.97705078125,0.0,0.0438669814210044
156.0,2.0,5.66536789463612e-05,9.0,8.0,447.97607421875,0.0,0.0438667360679261
156.0,2.0,5.66536789463612e-05,9.0,8.0,448.9833984375,0.0,0.0438667360679261
156.0,2.0,5.847598543340382e-05,9.0,8.0,449.98193359375,0.0,0.0438657467863237
156.0,2.0,5.847598543340382e-05,9.0,8.0,450.9697265625,0.0,0.0438657467863237
156.0,2.0,5.571222997247105e-05,9.0,8.0,451.97705078125,0.0,0.043867247155461
156.0,2.0,5.612725778547656e-05,9.0,8.0,452.974609375,0.0,0.0438670218479302
156.0,2.0,5.5705996572896765e-05,9.0,8.0,453.98388671875,0.0,0.0438672505394066
156.0,2.0,5.870775994054611e-05,9.0,8.0,454.97705078125,0.0,0.0438656209621086
156.0,2.0,5.987601581836088e-05,9.0,8.0,455.9775390625,0.0,0.0438649867471241
156.0,2.0,5.49894313124355e-05,9.0,8.0,456.9736328125,0.0,0.0438676395435919
156.0,2.0,5.629991660782707e-05,9.0,8.0,457.97705078125,0.0,0.0438669281160883
156.0,2.0,5.4602595568553625e-05,9.0,8.0,458.974609375,0.0,0.0438678495463733
156.0,2.0,5.4602595568553625e-05,9.0,8.0,459.98193359375,0.0,0.0438678495463733
156.0,2.0,5.4602595568553625e-05,9.0,8.0,460.98388671875,0.0,0.0438678495463733
156.0,2.0,5.4602595568553625e-05,9.0,8.0,461.98779296875,0.0,0.0438678495463733
156.0,2.0,5.4602595568553625e-05,9.0,8.0,462.982421875,0.0,0.0438678495463733
156.0,2.0,5.4602595568553625e-05,9.0,8.0,463.97998046875,0.0,0.0438678495463733
156.0,2.0,5.4602595568553625e-05,9.0,8.0,464.97607421875,0.0,0.0438678495463733
156.0,2.0,5.4602595568553625e-05,9.0,8.0,465.98681640625,0.0,0.0438678495463733
156.0,2.0,5.476195444487075e-05,9.0,8.0,466.978515625,0.0,0.0438677630347257
156.0,2.0,5.68110036311964e-05,9.0,8.0,467.9814453125,0.0,0.0438666506605187
156.0,2.0,5.68110036311964e-05,9.0,8.0,469.05419921875,0.0,0.0438666506605187
156.0,2.0,5.68110036311964e-05,9.0,8.0,469.9794921875,0.0,0.0438666506605187
156.0,2.0,5.5022980845365055e-05,9.0,8.0,470.97607421875,0.0,0.0438676213304489
156.0,2.0,5.5022980845365055e-05,9.0,8.0,471.98095703125,0.0,0.0438676213304489
156.0,2.0,5.5022980845365055e-05,9.0,8.0,472.98291015625,0.0,0.0438676213304489
156.0,2.0,5.5022980845365055e-05,9.0,8.0,473.97900390625,0.0,0.0438676213304489
156.0,2.0,5.4696754155258986e-05,9.0,8.0,474.97802734375,0.0,0.0438677984302131
156.0,2.0,5.4696754155258986e-05,9.0,8.0,475.99169921875,0.0,0.0438677984302131
156.0,2.0,5.4696754155258986e-05,9.0,8.0,476.98779296875,0.0,0.0438677984302131
156.0,2.0,5.4696754155258986e-05,9.0,8.0,477.984375,0.0,0.0438677984302131
